File|Return Type|Name|Signature
AclAPI.h|DWORD|SetEntriesInAclA|ULONG cCountOfExplicitEntries, PEXPLICIT_ACCESS_A pListOfExplicitEntries, PACL OldAcl, PACL* NewAcl
AclAPI.h|DWORD|SetEntriesInAclW|ULONG cCountOfExplicitEntries, PEXPLICIT_ACCESS_W pListOfExplicitEntries, PACL OldAcl, PACL* NewAcl
AclAPI.h|DWORD|GetExplicitEntriesFromAclA|PACL pacl, PULONG pcCountOfExplicitEntries, PEXPLICIT_ACCESS_A* pListOfExplicitEntries
AclAPI.h|DWORD|GetExplicitEntriesFromAclW|PACL pacl, PULONG pcCountOfExplicitEntries, PEXPLICIT_ACCESS_W* pListOfExplicitEntries
AclAPI.h|DWORD|GetEffectiveRightsFromAclA|PACL pacl, PTRUSTEE_A pTrustee, PACCESS_MASK pAccessRights
AclAPI.h|DWORD|GetEffectiveRightsFromAclW|PACL pacl, PTRUSTEE_W pTrustee, PACCESS_MASK pAccessRights
AclAPI.h|DWORD|GetAuditedPermissionsFromAclA|PACL pacl, PTRUSTEE_A pTrustee, PACCESS_MASK pSuccessfulAuditedRights, PACCESS_MASK pFailedAuditRights
AclAPI.h|DWORD|GetAuditedPermissionsFromAclW|PACL pacl, PTRUSTEE_W pTrustee, PACCESS_MASK pSuccessfulAuditedRights, PACCESS_MASK pFailedAuditRights
AclAPI.h|DWORD|GetNamedSecurityInfoA|LPCSTR pObjectName, SE_OBJECT_TYPE ObjectType, SECURITY_INFORMATION SecurityInfo, PSID* ppsidOwner, PSID* ppsidGroup, PACL* ppDacl, PACL* ppSacl, PSECURITY_DESCRIPTOR* ppSecurityDescriptor
AclAPI.h|DWORD|GetNamedSecurityInfoW|LPCWSTR pObjectName, SE_OBJECT_TYPE ObjectType, SECURITY_INFORMATION SecurityInfo, PSID* ppsidOwner, PSID* ppsidGroup, PACL* ppDacl, PACL* ppSacl, PSECURITY_DESCRIPTOR* ppSecurityDescriptor
AclAPI.h|DWORD|GetSecurityInfo|HANDLE handle, SE_OBJECT_TYPE ObjectType, SECURITY_INFORMATION SecurityInfo, PSID* ppsidOwner, PSID* ppsidGroup, PACL* ppDacl, PACL* ppSacl, PSECURITY_DESCRIPTOR* ppSecurityDescriptor
AclAPI.h|DWORD|SetNamedSecurityInfoA|LPSTR pObjectName, SE_OBJECT_TYPE ObjectType, SECURITY_INFORMATION SecurityInfo, PSID psidOwner, PSID psidGroup, PACL pDacl, PACL pSacl
AclAPI.h|DWORD|SetNamedSecurityInfoW|LPWSTR pObjectName, SE_OBJECT_TYPE ObjectType, SECURITY_INFORMATION SecurityInfo, PSID psidOwner, PSID psidGroup, PACL pDacl, PACL pSacl
AclAPI.h|DWORD|SetSecurityInfo|HANDLE handle, SE_OBJECT_TYPE ObjectType, SECURITY_INFORMATION SecurityInfo, PSID psidOwner, PSID psidGroup, PACL pDacl, PACL pSacl
AclAPI.h|DWORD|GetInheritanceSourceA|LPSTR pObjectName, SE_OBJECT_TYPE ObjectType, SECURITY_INFORMATION SecurityInfo, BOOL Container, GUID** pObjectClassGuids, DWORD GuidCount, PACL pAcl, PFN_OBJECT_MGR_FUNCTS pfnArray, PGENERIC_MAPPING pGenericMapping, PINHERITED_FROMA pInheritArray
AclAPI.h|DWORD|GetInheritanceSourceW|LPWSTR pObjectName, SE_OBJECT_TYPE ObjectType, SECURITY_INFORMATION SecurityInfo, BOOL Container, GUID** pObjectClassGuids, DWORD GuidCount, PACL pAcl, PFN_OBJECT_MGR_FUNCTS pfnArray, PGENERIC_MAPPING pGenericMapping, PINHERITED_FROMW pInheritArray
AclAPI.h|DWORD|FreeInheritedFromArray|PINHERITED_FROMW pInheritArray, USHORT AceCnt, PFN_OBJECT_MGR_FUNCTS pfnArray
AclAPI.h|DWORD|TreeResetNamedSecurityInfoA|LPSTR pObjectName, SE_OBJECT_TYPE ObjectType, SECURITY_INFORMATION SecurityInfo, PSID pOwner, PSID pGroup, PACL pDacl, PACL pSacl, BOOL KeepExplicit, FN_PROGRESS fnProgress, PROG_INVOKE_SETTING ProgressInvokeSetting, PVOID Args
AclAPI.h|DWORD|TreeResetNamedSecurityInfoW|LPWSTR pObjectName, SE_OBJECT_TYPE ObjectType, SECURITY_INFORMATION SecurityInfo, PSID pOwner, PSID pGroup, PACL pDacl, PACL pSacl, BOOL KeepExplicit, FN_PROGRESS fnProgress, PROG_INVOKE_SETTING ProgressInvokeSetting, PVOID Args
AclAPI.h|DWORD|TreeSetNamedSecurityInfoA|LPSTR pObjectName, SE_OBJECT_TYPE ObjectType, SECURITY_INFORMATION SecurityInfo, PSID pOwner, PSID pGroup, PACL pDacl, PACL pSacl, DWORD dwAction, FN_PROGRESS fnProgress, PROG_INVOKE_SETTING ProgressInvokeSetting, PVOID Args
AclAPI.h|DWORD|TreeSetNamedSecurityInfoW|LPWSTR pObjectName, SE_OBJECT_TYPE ObjectType, SECURITY_INFORMATION SecurityInfo, PSID pOwner, PSID pGroup, PACL pDacl, PACL pSacl, DWORD dwAction, FN_PROGRESS fnProgress, PROG_INVOKE_SETTING ProgressInvokeSetting, PVOID Args
AclAPI.h|DWORD|BuildSecurityDescriptorA|PTRUSTEE_A pOwner, PTRUSTEE_A pGroup, ULONG cCountOfAccessEntries, PEXPLICIT_ACCESS_A pListOfAccessEntries, ULONG cCountOfAuditEntries, PEXPLICIT_ACCESS_A pListOfAuditEntries, PSECURITY_DESCRIPTOR pOldSD, PULONG pSizeNewSD, PSECURITY_DESCRIPTOR* pNewSD
AclAPI.h|DWORD|BuildSecurityDescriptorW|PTRUSTEE_W pOwner, PTRUSTEE_W pGroup, ULONG cCountOfAccessEntries, PEXPLICIT_ACCESS_W pListOfAccessEntries, ULONG cCountOfAuditEntries, PEXPLICIT_ACCESS_W pListOfAuditEntries, PSECURITY_DESCRIPTOR pOldSD, PULONG pSizeNewSD, PSECURITY_DESCRIPTOR* pNewSD
AclAPI.h|DWORD|LookupSecurityDescriptorPartsA|PTRUSTEE_A* ppOwner, PTRUSTEE_A* ppGroup, PULONG pcCountOfAccessEntries, PEXPLICIT_ACCESS_A* ppListOfAccessEntries, PULONG pcCountOfAuditEntries, PEXPLICIT_ACCESS_A* ppListOfAuditEntries, PSECURITY_DESCRIPTOR pSD
AclAPI.h|DWORD|LookupSecurityDescriptorPartsW|PTRUSTEE_W* ppOwner, PTRUSTEE_W* ppGroup, PULONG pcCountOfAccessEntries, PEXPLICIT_ACCESS_W* ppListOfAccessEntries, PULONG pcCountOfAuditEntries, PEXPLICIT_ACCESS_W* ppListOfAuditEntries, PSECURITY_DESCRIPTOR pSD
AclAPI.h|VOID|BuildExplicitAccessWithNameA|PEXPLICIT_ACCESS_A pExplicitAccess, LPSTR pTrusteeName, DWORD AccessPermissions, ACCESS_MODE AccessMode, DWORD Inheritance
AclAPI.h|VOID|BuildExplicitAccessWithNameW|PEXPLICIT_ACCESS_W pExplicitAccess, LPWSTR pTrusteeName, DWORD AccessPermissions, ACCESS_MODE AccessMode, DWORD Inheritance
AclAPI.h|VOID|BuildImpersonateExplicitAccessWithNameA|PEXPLICIT_ACCESS_A pExplicitAccess, LPSTR pTrusteeName, PTRUSTEE_A pTrustee, DWORD AccessPermissions, ACCESS_MODE AccessMode, DWORD Inheritance
AclAPI.h|VOID|BuildImpersonateExplicitAccessWithNameW|PEXPLICIT_ACCESS_W pExplicitAccess, LPWSTR pTrusteeName, PTRUSTEE_W pTrustee, DWORD AccessPermissions, ACCESS_MODE AccessMode, DWORD Inheritance
AclAPI.h|VOID|BuildTrusteeWithNameA|PTRUSTEE_A pTrustee, LPSTR pName
AclAPI.h|VOID|BuildTrusteeWithNameW|PTRUSTEE_W pTrustee, LPWSTR pName
AclAPI.h|VOID|BuildImpersonateTrusteeA|PTRUSTEE_A pTrustee, PTRUSTEE_A pImpersonateTrustee
AclAPI.h|VOID|BuildImpersonateTrusteeW|PTRUSTEE_W pTrustee, PTRUSTEE_W pImpersonateTrustee
AclAPI.h|VOID|BuildTrusteeWithSidA|PTRUSTEE_A pTrustee, PSID pSid
AclAPI.h|VOID|BuildTrusteeWithSidW|PTRUSTEE_W pTrustee, PSID pSid
AclAPI.h|VOID|BuildTrusteeWithObjectsAndSidA|PTRUSTEE_A pTrustee, POBJECTS_AND_SID pObjSid, GUID* pObjectGuid, GUID* pInheritedObjectGuid, PSID pSid
AclAPI.h|VOID|BuildTrusteeWithObjectsAndSidW|PTRUSTEE_W pTrustee, POBJECTS_AND_SID pObjSid, GUID* pObjectGuid, GUID* pInheritedObjectGuid, PSID pSid
AclAPI.h|VOID|BuildTrusteeWithObjectsAndNameA|PTRUSTEE_A pTrustee, POBJECTS_AND_NAME_A pObjName, SE_OBJECT_TYPE ObjectType, LPSTR ObjectTypeName, LPSTR InheritedObjectTypeName, LPSTR Name
AclAPI.h|VOID|BuildTrusteeWithObjectsAndNameW|PTRUSTEE_W pTrustee, POBJECTS_AND_NAME_W pObjName, SE_OBJECT_TYPE ObjectType, LPWSTR ObjectTypeName, LPWSTR InheritedObjectTypeName, LPWSTR Name
AclAPI.h|LPSTR|GetTrusteeNameA|PTRUSTEE_A pTrustee
AclAPI.h|LPWSTR|GetTrusteeNameW|PTRUSTEE_W pTrustee
AclAPI.h|TRUSTEE_TYPE|GetTrusteeTypeA|PTRUSTEE_A pTrustee
AclAPI.h|TRUSTEE_TYPE|GetTrusteeTypeW|PTRUSTEE_W pTrustee
AclAPI.h|TRUSTEE_FORM|GetTrusteeFormA|PTRUSTEE_A pTrustee
AclAPI.h|TRUSTEE_FORM|GetTrusteeFormW|PTRUSTEE_W pTrustee
AclAPI.h|MULTIPLE_TRUSTEE_OPERATION|GetMultipleTrusteeOperationA|PTRUSTEE_A pTrustee
AclAPI.h|MULTIPLE_TRUSTEE_OPERATION|GetMultipleTrusteeOperationW|PTRUSTEE_W pTrustee
AclAPI.h|PTRUSTEE_A|GetMultipleTrusteeA|PTRUSTEE_A pTrustee
AclAPI.h|PTRUSTEE_W|GetMultipleTrusteeW|PTRUSTEE_W pTrustee
AdsHlp.h|HRESULT|ADsGetObject|LPCWSTR lpszPathName, REFIID riid, * ppObject
AdsHlp.h|HRESULT|ADsBuildEnumerator|IADsContainer* pADsContainer, IEnumVARIANT** ppEnumVariant
AdsHlp.h|HRESULT|ADsFreeEnumerator|IEnumVARIANT* pEnumVariant
AdsHlp.h|HRESULT|ADsEnumerateNext|IEnumVARIANT* pEnumVariant, ULONG cElements, FAR* pvar, FAR* pcElementsFetched
AdsHlp.h|HRESULT|ADsBuildVarArrayStr|LPWSTR* lppPathNames, DWORD dwPathNames, VARIANT* pVar
AdsHlp.h|HRESULT|ADsBuildVarArrayInt|LPDWORD lpdwObjectTypes, DWORD dwObjectTypes, VARIANT* pVar
AdsHlp.h|HRESULT|ADsOpenObject|LPCWSTR lpszPathName, LPCWSTR lpszUserName, LPCWSTR lpszPassword, DWORD dwReserved, REFIID riid, FAR* ppObject
AdsHlp.h|HRESULT|ADsGetLastError|LPDWORD lpError, LPWSTR lpErrorBuf, DWORD dwErrorBufLen, LPWSTR lpNameBuf, DWORD dwNameBufLen
AdsHlp.h|VOID|ADsSetLastError|DWORD dwErr, LPCWSTR pszError, LPCWSTR pszProvider
AdsHlp.h|VOID|ADsFreeAllErrorRecords|VOID
AdsHlp.h|LPVOID|AllocADsMem|DWORD cb
AdsHlp.h|BOOL|FreeADsMem|LPVOID pMem
AdsHlp.h|LPVOID|ReallocADsMem|LPVOID pOldMem, DWORD cbOld, DWORD cbNew
AdsHlp.h|LPWSTR|AllocADsStr|LPCWSTR pStr
AdsHlp.h|BOOL|FreeADsStr|LPWSTR pStr
AdsHlp.h|BOOL|ReallocADsStr|LPWSTR* ppStr, LPWSTR pStr
AdsHlp.h|HRESULT|ADsEncodeBinaryData|PBYTE pbSrcData, DWORD dwSrcLen, LPWSTR* ppszDestData
AdsHlp.h|HRESULT|ADsDecodeBinaryData|LPCWSTR szSrcData, PBYTE* ppbDestData, ULONG* pdwDestLen
AdsHlp.h|HRESULT|PropVariantToAdsType|VARIANT* pVariant, DWORD dwNumVariant, PADSVALUE* ppAdsValues, PDWORD pdwNumValues
AdsHlp.h|HRESULT|AdsTypeToPropVariant|PADSVALUE pAdsValues, DWORD dwNumValues, VARIANT* pVariant
AdsHlp.h|void|AdsFreeAdsValues|PADSVALUE pAdsValues, DWORD dwNumValues
AdsHlp.h|HRESULT|BinarySDToSecurityDescriptor|PSECURITY_DESCRIPTOR pSecurityDescriptor, VARIANT* pVarsec, LPCWSTR pszServerName, LPCWSTR userName, LPCWSTR passWord, DWORD dwFlags
AdsHlp.h|HRESULT|SecurityDescriptorToBinarySD|VARIANT vVarSecDes, PSECURITY_DESCRIPTOR* ppSecurityDescriptor, PDWORD pdwSDLength, LPCWSTR pszServerName, LPCWSTR userName, LPCWSTR passWord, DWORD dwFlags
AdsProp.h|HRESULT|ADsPropCreateNotifyObj|LPDATAOBJECT pAppThdDataObj, PWSTR pwzADsObjName, HWND* phNotifyObj
AdsProp.h|BOOL|ADsPropGetInitInfo|HWND hNotifyObj, PADSPROPINITPARAMS pInitParams
AdsProp.h|BOOL|ADsPropSetHwndWithTitle|HWND hNotifyObj, HWND hPage, PTSTR ptzTitle
AdsProp.h|BOOL|ADsPropSetHwnd|HWND hNotifyObj, HWND hPage
AdsProp.h|BOOL|ADsPropCheckIfWritable|PWSTR pwzAttr, PADS_ATTR_INFO pWritableAttrs
AdsProp.h|BOOL|ADsPropSendErrorMessage|HWND hNotifyObj, PADSPROPERROR pError
AdsProp.h|BOOL|ADsPropShowErrorDialog|HWND hNotifyObj, HWND hPage
advpub.h|HRESULT|RunSetupCommandA|HWND hWnd, LPCSTR szCmdName, LPCSTR szInfSection, LPCSTR szDir, LPCSTR lpszTitle, HANDLE* phEXE, DWORD dwFlags, LPVOID pvReserved
advpub.h|HRESULT|RunSetupCommandW|HWND hWnd, LPCWSTR szCmdName, LPCWSTR szInfSection, LPCWSTR szDir, LPCWSTR lpszTitle, HANDLE* phEXE, DWORD dwFlags, LPVOID pvReserved
advpub.h|HRESULT|RunSetupCommand|HWND hWnd, LPCSTR szCmdName, LPCSTR szInfSection, LPCSTR szDir, LPCSTR lpszTitle, HANDLE* phEXE, DWORD dwFlags, LPVOID pvReserved
advpub.h|DWORD|NeedRebootInit|
advpub.h|BOOL|NeedReboot|DWORD dwRebootCheck
advpub.h|HRESULT|RebootCheckOnInstallA|HWND hwnd, LPCSTR pszINF, LPCSTR pszSec, DWORD dwReserved
advpub.h|HRESULT|RebootCheckOnInstallW|HWND hwnd, LPCWSTR pszINF, LPCWSTR pszSec, DWORD dwReserved
advpub.h|HRESULT|RebootCheckOnInstall|HWND hwnd, LPCSTR pszINF, LPCSTR pszSec, DWORD dwReserved
advpub.h|HRESULT|TranslateInfStringA|LPCSTR pszInfFilename, LPCSTR pszInstallSection, LPCSTR pszTranslateSection, LPCSTR pszTranslateKey, LPSTR pszBuffer, DWORD cchBuffer, PDWORD pdwRequiredSize, PVOID pvReserved
advpub.h|HRESULT|TranslateInfStringW|LPCWSTR pszInfFilename, LPCWSTR pszInstallSection, LPCWSTR pszTranslateSection, LPCWSTR pszTranslateKey, LPWSTR pszBuffer, DWORD cchBuffer, PDWORD pdwRequiredSize, PVOID pvReserved
advpub.h|HRESULT|TranslateInfString|LPCSTR pszInfFilename, LPCSTR pszInstallSection, LPCSTR pszTranslateSection, LPCSTR pszTranslateKey, LPSTR pszBuffer, DWORD cchBuffer, PDWORD pdwRequiredSize, PVOID pvReserved
advpub.h|HRESULT|RegInstallA|HMODULE hmod, LPCSTR pszSection, STRTABLEA* pstTable
advpub.h|HRESULT|RegInstallW|HMODULE hmod, LPCWSTR pszSection, STRTABLEW* pstTable
advpub.h|HRESULT|RegInstall|HMODULE hmod, LPCSTR pszSection, STRTABLEA* pstTable
advpub.h|HRESULT|LaunchINFSectionExA|HWND hwnd, HINSTANCE hInstance, LPSTR pszParms, INT nShow
advpub.h|HRESULT|LaunchINFSectionExW|HWND hwnd, HINSTANCE hInstance, LPWSTR pszParms, INT nShow
advpub.h|HRESULT|LaunchINFSectionEx|HWND hwnd, HINSTANCE hInstance, LPSTR pszParms, INT nShow
advpub.h|HRESULT|ExecuteCabA|HWND hwnd, CABINFOA* pCab, LPVOID pReserved
advpub.h|HRESULT|ExecuteCabW|HWND hwnd, CABINFOW* pCab, LPVOID pReserved
advpub.h|HRESULT|ExecuteCab|HWND hwnd, CABINFOA* pCab, LPVOID pReserved
advpub.h|HRESULT|AdvInstallFileA|HWND hwnd, LPCSTR lpszSourceDir, LPCSTR lpszSourceFile, LPCSTR lpszDestDir, LPCSTR lpszDestFile, DWORD dwFlags, DWORD dwReserved
advpub.h|HRESULT|AdvInstallFileW|HWND hwnd, LPCWSTR lpszSourceDir, LPCWSTR lpszSourceFile, LPCWSTR lpszDestDir, LPCWSTR lpszDestFile, DWORD dwFlags, DWORD dwReserved
advpub.h|HRESULT|AdvInstallFile|HWND hwnd, LPCSTR lpszSourceDir, LPCSTR lpszSourceFile, LPCSTR lpszDestDir, LPCSTR lpszDestFile, DWORD dwFlags, DWORD dwReserved
advpub.h|HRESULT|RegSaveRestoreA|HWND hWnd, LPCSTR pszTitleString, HKEY hkBckupKey, LPCSTR pcszRootKey, LPCSTR pcszSubKey, LPCSTR pcszValueName, DWORD dwFlags
advpub.h|HRESULT|RegSaveRestoreW|HWND hWnd, LPCWSTR pszTitleString, HKEY hkBckupKey, LPCWSTR pcszRootKey, LPCWSTR pcszSubKey, LPCWSTR pcszValueName, DWORD dwFlags
advpub.h|HRESULT|RegSaveRestore|HWND hWnd, LPCSTR pszTitleString, HKEY hkBckupKey, LPCSTR pcszRootKey, LPCSTR pcszSubKey, LPCSTR pcszValueName, DWORD dwFlags
advpub.h|HRESULT|RegSaveRestoreOnINFA|HWND hWnd, LPCSTR pszTitle, LPCSTR pszINF, LPCSTR pszSection, HKEY hHKLMBackKey, HKEY hHKCUBackKey, DWORD dwFlags
advpub.h|HRESULT|RegSaveRestoreOnINFW|HWND hWnd, LPCWSTR pszTitle, LPCWSTR pszINF, LPCWSTR pszSection, HKEY hHKLMBackKey, HKEY hHKCUBackKey, DWORD dwFlags
advpub.h|HRESULT|RegSaveRestoreOnINF|HWND hWnd, LPCSTR pszTitle, LPCSTR pszINF, LPCSTR pszSection, HKEY hHKLMBackKey, HKEY hHKCUBackKey, DWORD dwFlags
advpub.h|HRESULT|RegRestoreAllA|HWND hWnd, LPCSTR pszTitleString, HKEY hkBckupKey
advpub.h|HRESULT|RegRestoreAllW|HWND hWnd, LPCWSTR pszTitleString, HKEY hkBckupKey
advpub.h|HRESULT|RegRestoreAll|HWND hWnd, LPCSTR pszTitleString, HKEY hkBckupKey
advpub.h|HRESULT|FileSaveRestoreA|HWND hDlg, LPSTR lpFileList, LPCSTR lpDir, LPCSTR lpBaseName, DWORD dwFlags
advpub.h|HRESULT|FileSaveRestoreW|HWND hDlg, LPWSTR lpFileList, LPCWSTR lpDir, LPCWSTR lpBaseName, DWORD dwFlags
advpub.h|HRESULT|FileSaveRestore|HWND hDlg, LPSTR lpFileList, LPCSTR lpDir, LPCSTR lpBaseName, DWORD dwFlags
